video_id,interval,event_attributes,event
1606b0e6_0,"[200.27, 202.77]",ball_action_forced,challenge
1606b0e6_0,"[210.12, 212.62]",opponent_dispossessed,challenge
1606b0e6_0,"[217.85, 220.35]",pass,throwin
1606b0e6_0,"[223.93, 226.43]",pass,play
1606b0e6_0,"[228.96, 231.46]",pass,play
1606b0e6_0,"[236.25, 240.4]",pass,play
1606b0e6_0,"[241.64, 246.03]",pass,play
1606b0e6_0,"[246.98, 249.48]",pass,play
1606b0e6_0,"[250.22, 253.99]",pass,play
1606b0e6_0,"[254.88, 257.38]",pass,play
1606b0e6_0,"[258.27, 265.02]",pass,play
1606b0e6_0,"[265.53, 268.03]",pass,play
1606b0e6_0,"[268.87, 273.87]",cross,play
1606b0e6_0,"[275.35, 277.85]",pass,play
1606b0e6_0,"[281.42, 285.23]",pass,play
1606b0e6_0,"[289.98, 294.95]",pass,play
1606b0e6_0,"[295.84, 299.89]",pass,play
1606b0e6_0,"[299.89, 302.27]",possession_retained,challenge
1606b0e6_0,"[306.31, 308.81]",opponent_dispossessed,challenge
1606b0e6_0,"[310.45, 314.68]",cross,play
1606b0e6_0,"[324.54, 329.26]",pass,play
1606b0e6_0,"[355.18, 357.68]",pass,play
1606b0e6_0,"[360.33, 362.83]",cross,play
1606b0e6_0,"[395.0, 397.5]",ball_action_forced,challenge
1606b0e6_0,"[398.33, 400.83]",pass,play
1606b0e6_0,"[401.09, 403.59]",pass,play
1606b0e6_0,"[405.7, 408.2]",pass,play
1606b0e6_0,"[408.75, 411.25]",pass,play
1606b0e6_0,"[413.2, 415.85]",pass,play
1606b0e6_0,"[415.85, 418.09]",opponent_dispossessed,challenge
1606b0e6_0,"[418.92, 421.42]",opponent_dispossessed,challenge
1606b0e6_0,"[426.71, 429.19]",pass,throwin
1606b0e6_0,"[429.19, 431.47]",pass,play
1606b0e6_0,"[438.59, 441.09]",pass,play
1606b0e6_0,"[441.17, 443.67]",ball_action_forced,challenge
1606b0e6_0,"[444.95, 447.45]",pass,play
1606b0e6_0,"[451.38, 458.36]",pass,play
1606b0e6_0,"[472.46, 474.96]",cross,throwin
1606b0e6_0,"[477.01, 484.33]",pass,play
1606b0e6_0,"[491.8, 494.3]",pass,play
1606b0e6_0,"[496.51, 499.01]",fouled,challenge
1606b0e6_0,"[521.16, 526.01]",pass,play
1606b0e6_0,"[529.37, 531.87]",pass,play
1606b0e6_0,"[539.44, 541.94]",pass,play
1606b0e6_0,"[542.1, 544.6]",pass,play
1606b0e6_0,"[544.73, 547.23]",pass,play
1606b0e6_0,"[551.04, 553.54]",pass,play
1606b0e6_0,"[553.84, 557.51]",cross,play
1606b0e6_0,"[586.59, 589.09]",pass,play
1606b0e6_0,"[593.45, 595.95]",opponent_dispossessed,challenge
1606b0e6_0,"[620.67, 622.11]",cross,throwin
1606b0e6_0,"[622.11, 624.74]",ball_action_forced,challenge
1606b0e6_0,"[625.07, 628.87]",pass,play
1606b0e6_0,"[628.92, 631.42]",pass,play
1606b0e6_0,"[635.93, 638.43]",pass,play
1606b0e6_0,"[663.91, 666.41]",pass,play
1606b0e6_0,"[669.45, 671.95]",cross,play
1606b0e6_0,"[678.19, 680.69]",opponent_rounded,challenge
1606b0e6_0,"[681.64, 684.14]",pass,play
1606b0e6_0,"[686.07, 688.57]",pass,play
1606b0e6_0,"[690.41, 695.28]",opponent_dispossessed,challenge
1606b0e6_0,"[696.22, 700.45]",pass,play
1606b0e6_0,"[700.83, 703.33]",pass,play
1606b0e6_0,"[703.72, 706.22]",pass,play
1606b0e6_0,"[718.22, 720.72]",pass,play
1606b0e6_0,"[722.35, 724.85]",pass,play
1606b0e6_0,"[727.19, 729.69]",pass,play
1606b0e6_0,"[729.94, 732.44]",pass,play
1606b0e6_0,"[737.71, 740.21]",fouled,challenge
1606b0e6_0,"[756.97, 759.47]",pass,play
1606b0e6_0,"[760.12, 762.62]",pass,play
1606b0e6_0,"[764.02, 766.52]",pass,play
1606b0e6_0,"[767.54, 770.04]",pass,play
1606b0e6_0,"[771.76, 774.26]",pass,play
1606b0e6_0,"[776.31, 778.81]",pass,play
1606b0e6_0,"[782.42, 784.92]",pass,play
1606b0e6_0,"[799.77, 802.27]",pass,play
1606b0e6_0,"[803.34, 805.84]",ball_action_forced,challenge
1606b0e6_0,"[824.31, 826.81]",pass,play
1606b0e6_0,"[827.66, 830.16]",pass,play
1606b0e6_0,"[857.78, 860.28]",pass,play
1606b0e6_0,"[860.29, 862.79]",pass,play
1606b0e6_0,"[865.37, 867.87]",pass,play
1606b0e6_0,"[869.09, 871.59]",pass,play
1606b0e6_0,"[874.48, 876.98]",pass,throwin
1606b0e6_0,"[877.46, 879.96]",pass,play
1606b0e6_0,"[883.83, 886.33]",pass,play
1606b0e6_0,"[888.62, 891.12]",pass,play
1606b0e6_0,"[892.24, 894.74]",pass,play
1606b0e6_0,"[897.83, 900.33]",pass,play
1606b0e6_0,"[904.1, 908.79]",pass,play
1606b0e6_0,"[911.02, 915.61]",pass,play
1606b0e6_0,"[919.4, 924.1]",pass,play
1606b0e6_0,"[926.73, 929.23]",pass,play
1606b0e6_0,"[930.45, 932.95]",pass,play
1606b0e6_0,"[932.98, 935.48]",pass,play
1606b0e6_0,"[941.06, 942.99]",pass,throwin
1606b0e6_0,"[942.99, 945.42]",pass,play
1606b0e6_0,"[948.24, 950.74]",pass,play
1606b0e6_0,"[962.28, 964.78]",pass,throwin
1606b0e6_0,"[965.38, 967.88]",pass,play
